GSFC Lab sample code,PI,Original PI Sample Label,Cruise Name,Sequential Sample Number,Indicate if filters are replicates,Volume filtered (ml),Station,Bottle Number,Sampling Depth (meters),Total Water Depth (meters),Name of Water Body,Water Type,collected with positive pressure or vaccuum,Year of Sample,Gregorian Month,Day of Gregorian Month,Sequential Day of Year,GMT Time,Longitude,Latitude,Filter type,Filter Diameter (mm),Filter storage before shipping to GSFC,date extracted (month/day/year),Vx (ml),[Tot_Chl_a],[Tot_Chl_b],[Tot_Chl_c],[Alpha_beta_Car],[But fuco],[Hex fuco],[Allo],[Diadino],[Diato],[Fuco],[Perid],[Zea],[MV_Chl_a],[DV_Chl_a],[Chlide_a],[MV_Chl _b],[DV_Chl_b],[Chl c12],[Chl_c3],[Lut],[Neo],[Viola],[Phytin_a],[Phide_a],[Pras],[Gyro],[TChl],[PPC],[PSC],[PSP],[TCaro],[TAcc],[TPg],[DP],[TAcc]/[Tchla],[PSC]/[TCaro],[PPC]/[TCaro],[TChl]/[TCaro],[PPC]/[Tpig],[PSP]/[TPg],[TChl a]/[TPig],comments
05-1538,"Montes, Enrique",WS16074_4,Walton Smith 16074,4,D,1000,MR,1,1,10,Florida Keys ,Coastal/Oceanic,V,2016,Mar,14,74,21:13,-80.01,25.38,GF/F,25 mm,-80C,4/15/16,2.778,0.396,0.053,0.056,0.031,0.022,0.062,0.005,0.029,0.003,0.057,0.003,0.112,0.342,0.043,0.011,0.050,0.003,0.032,0.024,0.001,0.005,0.013,0.004,0.003,0.019,-8888.000,0.505,0.180,0.144,0.649,0.324,0.433,0.829,0.314,1.09,0.44,0.56,1.56,0.22,0.78,0.48,
05-1538.5,"Montes, Enrique",WS16074_4,Walton Smith 16074,4,D,1000,MR,1,1,10,Florida Keys ,Coastal/Oceanic,V,2016,Mar,14,74,21:13,-80.01,25.38,GF/F,25 mm,-80C,4/15/16,2.795,0.397,0.054,0.057,0.030,0.022,0.061,0.005,0.029,0.003,0.057,0.003,0.112,0.343,0.043,0.011,0.050,0.004,0.033,0.024,0.001,0.006,0.013,0.004,0.003,0.019,-8888.000,0.508,0.179,0.143,0.651,0.322,0.433,0.830,0.314,1.09,0.44,0.56,1.58,0.22,0.78,0.48,
05-1539,"Montes, Enrique",WS16074_5,Walton Smith 16074,5,D,1000,MR,1,1,10,Florida Keys ,Coastal/Oceanic,V,2016,Mar,14,74,21:13,-80.01,25.38,GF/F,25 mm,-80C,4/15/16,2.781,0.389,0.054,0.056,0.030,0.021,0.061,0.005,0.028,0.004,0.056,0.003,0.109,0.338,0.042,0.009,0.050,0.004,0.032,0.024,0.001,0.005,0.012,0.004,0.002,0.018,-8888.000,0.499,0.176,0.141,0.640,0.317,0.427,0.816,0.309,1.10,0.44,0.56,1.57,0.22,0.78,0.48,
05-1540,"Montes, Enrique",WS16074_10,Walton Smith 16074,10,D,1000,MR,1,7,10,Florida Keys ,Coastal/Oceanic,V,2016,Mar,14,74,21:13,-80.01,25.38,GF/F,25 mm,-80C,4/15/16,2.783,0.365,0.052,0.054,0.029,0.021,0.058,0.005,0.024,0.003,0.052,0.003,0.101,0.316,0.041,0.008,0.048,0.004,0.030,0.024,0.001,0.005,0.011,0.003,0.002,0.017,-8888.000,0.471,0.162,0.134,0.605,0.296,0.402,0.767,0.292,1.10,0.45,0.55,1.59,0.21,0.79,0.48,
05-1541,"Montes, Enrique",WS16074_11,Walton Smith 16074,11,D,1000,MR,1,7,10,Florida Keys ,Coastal/Oceanic,V,2016,Mar,14,74,21:13,-80.01,25.38,GF/F,25 mm,-80C,4/15/16,2.792,0.378,0.053,0.051,0.029,0.022,0.060,0.005,0.025,0.003,0.054,0.003,0.105,0.327,0.042,0.009,0.049,0.004,0.031,0.020,0.001,0.005,0.012,0.003,0.002,0.017,-8888.000,0.482,0.167,0.139,0.621,0.306,0.410,0.788,0.302,1.08,0.45,0.55,1.58,0.21,0.79,0.48,
05-1593,"Montes, Enrique",WS16074_16,Walton Smith 16074,16,D,1000,LK,1,1,35,Florida Keys ,Coastal/Oceanic,V,2016,Mar,15,75,12:24,-81.413,24.538,GF/F,25 mm,-80C,4/18/16,2.816,0.544,0.076,0.085,0.043,0.022,0.078,0.011,0.022,0.002,0.089,0.007,0.086,0.453,0.077,0.014,0.064,0.012,0.043,0.042,-8888.000,0.006,0.007,0.005,0.015,0.022,-8888.000,0.705,0.164,0.196,0.901,0.360,0.521,1.065,0.369,0.96,0.54,0.46,1.96,0.15,0.85,0.51,
05-1542,"Montes, Enrique",WS16074_17,Walton Smith 16074,17,D,1000,LK,1,1,35,Florida Keys ,Coastal/Oceanic,V,2016,Mar,15,75,12:24,-81.413,24.538,GF/F,25 mm,-80C,4/15/16,2.821,0.516,0.074,0.079,0.042,0.020,0.074,0.010,0.020,0.002,0.080,0.005,0.089,0.428,0.075,0.013,0.063,0.011,0.041,0.038,-8888.000,0.006,0.007,0.004,0.017,0.021,-8888.000,0.669,0.163,0.179,0.848,0.342,0.495,1.011,0.352,0.96,0.52,0.48,1.96,0.16,0.84,0.51,
05-1543,"Montes, Enrique",WS16074_22,Walton Smith 16074,22,D,1000,LK,1,30,35,Florida Keys ,Coastal/Oceanic,V,2016,Mar,15,75,12:24,-81.413,24.538,GF/F,25 mm,-80C,4/15/16,2.770,0.611,0.095,0.106,0.043,0.026,0.082,0.015,0.018,0.001,0.121,0.010,0.064,0.530,0.067,0.014,0.082,0.013,0.052,0.054,-8888.000,0.007,0.006,0.006,0.023,0.027,-8888.000,0.812,0.141,0.239,1.051,0.380,0.581,1.192,0.413,0.95,0.63,0.37,2.14,0.12,0.88,0.51,
05-1544,"Montes, Enrique",WS16074_23,Walton Smith 16074,23,D,1000,LK,1,30,35,Florida Keys ,Coastal/Oceanic,V,2016,Mar,15,75,12:24,-81.413,24.538,GF/F,25 mm,-80C,4/15/16,2.777,0.615,0.098,0.110,0.044,0.027,0.084,0.015,0.018,0.001,0.122,0.009,0.064,0.532,0.067,0.016,0.085,0.013,0.053,0.057,-8888.000,0.007,0.006,0.007,0.023,0.028,-8888.000,0.823,0.142,0.242,1.065,0.384,0.592,1.207,0.419,0.96,0.63,0.37,2.14,0.12,0.88,0.51,
05-1545,"Montes, Enrique",WS16074_28,Walton Smith 16074,28,D,1000,WS,1,1,23,Florida Keys ,Coastal/Oceanic,V,2016,Mar,15,75,16:10,-81.717,24.478,GF/F,25 mm,-80C,4/15/16,2.757,0.366,0.040,0.045,0.032,0.011,0.042,0.009,0.042,0.007,0.045,0.005,0.119,0.305,0.047,0.014,0.036,0.004,0.025,0.020,0.003,0.003,0.007,0.003,0.004,0.010,-8888.000,0.451,0.209,0.103,0.554,0.312,0.397,0.763,0.271,1.08,0.33,0.67,1.45,0.27,0.73,0.48,
